Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,10,3200,3.740054,3200,3.760852,3200,3.784582,3200,3.389595,3200,3.446441,3200,3.410734,3200,3.287381,3200,3.093466
3199,10,3199,10,3199,10,3199,10,3199,10,3199,10,3199,10,3199,10,3199,10,3199,10,3199,10,3199,10,3199,10,3199,3.621424,3199,4.365499,3199,3.515278,3199,10,3199,10,3199,3.347764,3199,3.389318,3199,3.675594,3199,4.511796,3199,3.480912
3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,10,3198,4.189159,3198,4.025899,3198,3.570638,3198,10,3198,3.340495,3198,10,3198,4.252161,3198,3.623132,3198,3.412062
3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,10,3197,3.648535,3197,3.583286,3197,3.950568,3197,10,3197,3.296772,3197,3.339976,3197,3.950654,3197,4.083143,3197,3.331074
3196,10,3196,10,3196,10,3196,10,3196,10,3196,10,3196,10,3196,10,3196,10,3196,10,3196,10,3196,10,3196,10,3196,3.397161,3196,10,3196,10,3196,3.849859,3196,3.373557,3196,3.426011,3196,3.901433,3196,3.645483,3196,10,3196,3.77822
3195,10,3195,10,3195,10,3195,10,3195,10,3195,10,3195,10,3195,10,3195,10,3195,10,3195,10,3195,10,3195,10,3195,4.700723,3195,3.847441,3195,3.679006,3195,3.919957,3195,3.771577,3195,3.25756,3195,3.560403,3195,3.989838,3195,3.668032,3195,3.267552
3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,10,3194,3.889046,3194,10,3194,3.853622,3194,3.649801,3194,10,3194,10,3194,10,3194,3.492781,3194,3.490624
3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,10,3193,4.379265,3193,3.851445,3193,3.714699,3193,3.344954,3193,4.197169,3193,4.245006,3193,3.385058,3193,3.628819,3193,3.884161
3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,10,3192,3.632231,3192,3.591501,3192,3.599595,3192,3.996255,3192,3.594017,3192,3.843697,3192,3.227669,3192,4.137247,3192,3.56347
3191,10,3191,10,3191,10,3191,10,3191,10,3191,10,3191,10,3191,10,3191,10,3191,10,3191,10,3191,10,3191,10,3191,3.776205,3191,10,3191,10,3191,10,3191,5.171895,3191,3.723513,3191,3.226328,3191,3.53155,3191,3.456355,3191,3.771039
3190,10,3190,10,3190,10,3190,10,3190,10,3190,10,3190,10,3190,10,3190,10,3190,10,3190,10,3190,10,3190,10,3190,4.116801,3190,10,3190,3.472442,3190,10,3190,3.313061,3190,3.71027,3190,10,3190,3.37923,3190,3.487115,3190,3.318799
3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,10,3189,4.51084,3189,3.51235,3189,3.714737,3189,3.829633,3189,3.958002,3189,3.541282,3189,3.422637,3189,3.083299,3189,3.539101
3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,10,3188,4.050815,3188,10,3188,3.48312,3188,10,3188,3.26398,3188,3.53342,3188,3.376888,3188,3.371688
3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,10,3187,3.487499,3187,10,3187,4.922101,3187,3.609267,3187,3.54449,3187,4.026591,3187,3.450869,3187,3.649597
3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,10,3186,3.800801,3186,3.620815,3186,10,3186,10,3186,10,3186,3.553627,3186,3.290896,3186,3.61506,3186,3.297618
3185,10,3185,10,3185,10,3185,10,3185,10,3185,10,3185,10,3185,10,3185,10,3185,10,3185,10,3185,10,3185,10,3185,3.822506,3185,10,3185,10,3185,3.618872,3185,3.509729,3185,4.224921,3185,10,3185,3.546062,3185,3.818001,3185,3.57608
3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,10,3184,3.608146,3184,3.377598,3184,10,3184,10,3184,3.850784,3184,3.33435,3184,3.282039,3184,3.121043
3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,10,3183,3.741735,3183,3.883993,3183,3.940359,3183,3.574237,3183,10,3183,10,3183,3.468688,3183,3.287309,3183,3.682942
3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,10,3182,4.557998,3182,3.987138,3182,10,3182,10,3182,3.70092,3182,3.505557,3182,4.111265,3182,4.289521,3182,3.878444
3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,10,3181,3.777903,3181,3.467096,3181,3.896211,3181,4.434713,3181,3.813598,3181,3.504642,3181,3.994091
3180,10,3180,10,3180,10,3180,10,3180,10,3180,10,3180,10,3180,10,3180,10,3180,10,3180,10,3180,10,3180,10,3180,4.311033,3180,4.340453,3180,3.776855,3180,3.828514,3180,3.590865,3180,10,3180,10,3180,3.583483,3180,4.290044,3180,4.925754
3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,10,3179,3.803225,3179,4.213664,3179,4.509874,3179,10,3179,4.281138,3179,10,3179,3.438947,3179,3.754076
3178,10,3178,10,3178,10,3178,10,3178,10,3178,10,3178,10,3178,10,3178,10,3178,10,3178,10,3178,10,3178,10,3178,3.716629,3178,3.925469,3178,3.640697,3178,3.733571,3178,3.567361,3178,10,3178,10,3178,3.845886,3178,4.280522,3178,3.232401
3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,10,3177,3.960729,3177,3.37831,3177,10,3177,3.631129,3177,4.111468,3177,3.504933,3177,10,3177,3.594325,3177,3.766667
3176,10,3176,10,3176,10,3176,10,3176,10,3176,10,3176,10,3176,10,3176,10,3176,10,3176,10,3176,10,3176,10,3176,3.99039,3176,3.330515,3176,3.333683,3176,10,3176,4.841431,3176,3.381509,3176,3.624449,3176,3.399413,3176,3.425529,3176,3.47564
3175,10,3175,10,3175,10,3175,10,3175,10,3175,10,3175,10,3175,10,3175,10,3175,10,3175,10,3175,10,3175,10,3175,3.733904,3175,10,3175,3.991407,3175,5.022749,3175,10,3175,3.7353,3175,3.640477,3175,3.698506,3175,3.493687,3175,3.852156
3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,10,3174,3.52538,3174,10,3174,3.605411,3174,4.217331,3174,3.763623,3174,3.498291,3174,4.382306,3174,3.353862
3173,10,3173,10,3173,10,3173,10,3173,10,3173,10,3173,10,3173,10,3173,10,3173,10,3173,10,3173,10,3173,10,3173,3.978353,3173,4.05922,3173,3.955145,3173,10,3173,4.355436,3173,4.379782,3173,3.503964,3173,10,3173,4.199892,3173,3.176155
3172,10,3172,10,3172,10,3172,10,3172,10,3172,10,3172,10,3172,10,3172,10,3172,10,3172,10,3172,10,3172,10,3172,3.53823,3172,3.891252,3172,10,3172,10,3172,10,3172,3.905852,3172,3.593863,3172,3.743745,3172,3.616729,3172,3.685279
3171,10,3171,10,3171,10,3171,10,3171,10,3171,10,3171,10,3171,10,3171,10,3171,10,3171,10,3171,10,3171,10,3171,3.786797,3171,4.103795,3171,10,3171,3.381989,3171,3.8741,3171,3.615314,3171,10,3171,3.441329,3171,3.538724,3171,3.403187
3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,10,3170,4.119975,3170,10,3170,10,3170,10,3170,10,3170,3.282402,3170,3.463467,3170,3.571165,3170,3.630264
3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,10,3169,3.694291,3169,3.72243,3169,3.760674,3169,3.448502,3169,3.407097,3169,3.568685,3169,3.483993
3168,10,3168,10,3168,10,3168,10,3168,10,3168,10,3168,10,3168,10,3168,10,3168,10,3168,10,3168,10,3168,10,3168,3.929483,3168,6.449395,3168,4.108382,3168,4.94241,3168,4.305533,3168,3.623042,3168,10,3168,3.521077,3168,3.444428,3168,3.535552
3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,10,3167,3.494556,3167,10,3167,3.387006,3167,3.771735,3167,10,3167,3.523648,3167,3.427847,3167,3.360661,3167,3.549587
3166,10,3166,10,3166,10,3166,10,3166,10,3166,10,3166,10,3166,10,3166,10,3166,10,3166,10,3166,10,3166,10,3166,3.787573,3166,4.749023,3166,3.947281,3166,10,3166,3.700222,3166,3.783633,3166,10,3166,3.751393,3166,3.430213,3166,3.898666
3165,10,3165,10,3165,10,3165,10,3165,10,3165,10,3165,10,3165,10,3165,10,3165,10,3165,10,3165,10,3165,10,3165,4.357995,3165,3.508621,3165,5.765211,3165,3.920611,3165,3.650346,3165,3.849318,3165,10,3165,3.572964,3165,3.467528,3165,3.773283
3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,10,3164,4.040266,3164,3.671945,3164,3.681756,3164,3.53504,3164,3.601875,3164,4.032691,3164,4.105167,3164,3.362822,3164,3.733952
3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,10,3163,3.602897,3163,3.918361,3163,4.161895,3163,4.109368,3163,10,3163,3.237322,3163,3.826646,3163,3.83758,3163,4.186781
3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,10,3162,4.074779,3162,4.19558,3162,10,3162,3.820671,3162,3.777642,3162,4.17387,3162,3.647386,3162,3.950399,3162,3.783515
3161,10,3161,10,3161,10,3161,10,3161,10,3161,10,3161,10,3161,10,3161,10,3161,10,3161,10,3161,10,3161,10,3161,4.111438,3161,10,3161,10,3161,4.114643,3161,3.865523,3161,10,3161,4.103344,3161,3.860112,3161,4.06996,3161,3.29599
3160,10,3160,10,3160,10,3160,10,3160,10,3160,10,3160,10,3160,10,3160,10,3160,10,3160,10,3160,10,3160,10,3160,4.800051,3160,3.759185,3160,10,3160,10,3160,3.367624,3160,3.896233,3160,10,3160,3.5864,3160,3.645028,3160,3.541868
