wavenumber,t1-1
3.996748E+02,0.000000e+000
4.001569E+02,1.551747e-001
4.006390E+02,1.531522e-001
4.011211E+02,1.495457e-001
4.016032E+02,1.443780e-001
4.020854E+02,1.389301e-001
4.025675E+02,1.350593e-001
4.030496E+02,1.342581e-001
4.035317E+02,1.367954e-001
4.040138E+02,1.415480e-001
4.044959E+02,1.462777e-001
4.049781E+02,1.485644e-001
4.054602E+02,1.471123e-001
4.059423E+02,1.424592e-001
4.064244E+02,1.367206e-001
4.069065E+02,1.321907e-001
4.073886E+02,1.304113e-001
4.078708E+02,1.315672e-001
4.083529E+02,1.347097e-001
4.088350E+02,1.381859e-001
4.093171E+02,1.404882e-001
4.097992E+02,1.409285e-001
4.102813E+02,1.398968e-001
4.107635E+02,1.383510e-001
4.112456E+02,1.371315e-001
4.117277E+02,1.364190e-001
4.122098E+02,1.357812e-001
4.126919E+02,1.344864e-001
4.131740E+02,1.320961e-001
4.136562E+02,1.288425e-001
4.141383E+02,1.256175e-001
4.146204E+02,1.234514e-001
4.151025E+02,1.230474e-001
4.155846E+02,1.245454e-001
4.160667E+02,1.275694e-001
4.165489E+02,1.313790e-001
4.170310E+02,1.350748e-001
4.175131E+02,1.378949e-001
4.179952E+02,1.393590e-001
4.184773E+02,1.394240e-001
4.189594E+02,1.383702e-001
4.194416E+02,1.365621e-001
4.199237E+02,1.342870e-001
4.204058E+02,1.317484e-001
4.208879E+02,1.292032e-001
4.213700E+02,1.269367e-001
4.218521E+02,1.252289e-001
4.223343E+02,1.242380e-001
4.228164E+02,1.239124e-001
4.232985E+02,1.240038e-001
4.237806E+02,1.241856e-001
4.242627E+02,1.242651e-001
4.247448E+02,1.242981e-001
4.252270E+02,1.245704e-001
4.257091E+02,1.253980e-001
4.261912E+02,1.269327e-001
4.266733E+02,1.290167e-001
4.271554E+02,1.312284e-001
4.276375E+02,1.330260e-001
4.281197E+02,1.340255e-001
4.286018E+02,1.341513e-001
4.290839E+02,1.336674e-001
4.295660E+02,1.329935e-001
4.300481E+02,1.324967e-001
4.305302E+02,1.322836e-001
4.310124E+02,1.321701e-001
4.314945E+02,1.317949e-001
4.319766E+02,1.308579e-001
4.324587E+02,1.293068e-001
4.329408E+02,1.273742e-001
4.334229E+02,1.254570e-001
4.339051E+02,1.239269e-001
4.343872E+02,1.230041e-001
4.348693E+02,1.226907e-001
4.353514E+02,1.228329e-001
4.358335E+02,1.232367e-001
4.363156E+02,1.237912e-001
4.367978E+02,1.244847e-001
4.372799E+02,1.253549e-001
4.377620E+02,1.263870e-001
4.382441E+02,1.274440e-001
4.387262E+02,1.282907e-001
4.392083E+02,1.286912e-001
4.396905E+02,1.285050e-001
4.401726E+02,1.277824e-001
4.406547E+02,1.267546e-001
4.411368E+02,1.257484e-001
4.416189E+02,1.250228e-001
4.421010E+02,1.246805e-001
4.425832E+02,1.246401e-001
4.430653E+02,1.247274e-001
4.435474E+02,1.247885e-001
4.440295E+02,1.247809e-001
4.445116E+02,1.247746e-001
4.449937E+02,1.248716e-001
4.454759E+02,1.251080e-001
4.459580E+02,1.254001e-001
4.464401E+02,1.255661e-001
4.469222E+02,1.254259e-001
4.474043E+02,1.249028e-001
4.478864E+02,1.240830e-001
4.483686E+02,1.231757e-001
4.488507E+02,1.224219e-001
4.493328E+02,1.219751e-001
4.498149E+02,1.218366e-001
4.502970E+02,1.218814e-001
4.507791E+02,1.219334e-001
4.512613E+02,1.218717e-001
4.517434E+02,1.216767e-001
4.522255E+02,1.214335e-001
4.527076E+02,1.212565e-001
4.531897E+02,1.212116e-001
4.536718E+02,1.212647e-001
4.541540E+02,1.213174e-001
4.546361E+02,1.212769e-001
4.551182E+02,1.211272e-001
4.556003E+02,1.209562e-001
4.560824E+02,1.209248e-001
4.565645E+02,1.211655e-001
4.570467E+02,1.216914e-001
4.575288E+02,1.223387e-001
4.580109E+02,1.228424e-001
4.584930E+02,1.229649e-001
4.589751E+02,1.226498e-001
4.594572E+02,1.220304e-001
4.599394E+02,1.213622e-001
4.604215E+02,1.208803e-001
4.609036E+02,1.207205e-001
4.613857E+02,1.208634e-001
4.618678E+02,1.211650e-001
4.623499E+02,1.214285e-001
4.628321E+02,1.215183e-001
4.633142E+02,1.214277e-001
4.637963E+02,1.212649e-001
4.642784E+02,1.211760e-001
4.647606E+02,1.212532e-001
4.652427E+02,1.214865e-001
4.657248E+02,1.217672e-001
4.662069E+02,1.219498e-001
4.666890E+02,1.219264e-001
4.671711E+02,1.216916e-001
4.676533E+02,1.213367e-001
4.681354E+02,1.209977e-001
4.686175E+02,1.207734e-001
4.690996E+02,1.206965e-001
4.695817E+02,1.207305e-001
4.700638E+02,1.208183e-001
4.705460E+02,1.209217e-001
4.710281E+02,1.210516e-001
4.715102E+02,1.212460e-001
4.719923E+02,1.215312e-001
4.724744E+02,1.218746e-001
4.729565E+02,1.221853e-001
4.734387E+02,1.223513e-001
4.739208E+02,1.223149e-001
4.744029E+02,1.221034e-001
4.748850E+02,1.218297e-001
4.753671E+02,1.216310e-001
4.758492E+02,1.216242e-001
4.763314E+02,1.218429e-001
4.768135E+02,1.222357e-001
4.772956E+02,1.226914e-001
4.777777E+02,1.231054e-001
4.782598E+02,1.234291e-001
4.787419E+02,1.236842e-001
4.792241E+02,1.239247e-001
4.797062E+02,1.241878e-001
4.801883E+02,1.244504e-001
4.806704E+02,1.246381e-001
4.811525E+02,1.246603e-001
4.816346E+02,1.244782e-001
4.821168E+02,1.241366e-001
4.825989E+02,1.237629e-001
4.830810E+02,1.235004e-001
4.835631E+02,1.234351e-001
4.840452E+02,1.235491e-001
4.845273E+02,1.237281e-001
4.850095E+02,1.238218e-001
4.854916E+02,1.237270e-001
4.859737E+02,1.234536e-001
4.864558E+02,1.231230e-001
4.869379E+02,1.229120e-001
4.874200E+02,1.229575e-001
4.879022E+02,1.233000e-001
4.883843E+02,1.238577e-001
4.888664E+02,1.244737e-001
4.893485E+02,1.249739e-001
4.898306E+02,1.252536e-001
4.903127E+02,1.253060e-001
4.907949E+02,1.252027e-001
4.912770E+02,1.250376e-001
4.917591E+02,1.248776e-001
4.922412E+02,1.247374e-001
4.927233E+02,1.245964e-001
4.932054E+02,1.244373e-001
4.936876E+02,1.242819e-001
4.941697E+02,1.241893e-001
4.946518E+02,1.242340e-001
4.951339E+02,1.244553e-001
4.956160E+02,1.248310e-001
